,title,text,date
10,"릴리스 AI , 유튜브 영상 자동 요약 인공지능","아무리 인공지능 AI인들 그 긴 영상을 어떻게 깔끔하게 요약한단 말인가. 그런데 사용해보면, 이 기능들 진짜 미.쳤.다. 일단 아래 화면은 요약본이다. 영상은 22분짜리인데, 그냥 몇 초만에 요약해낸다. 요약본을 읽는데는 채 5분도 걸리지 않았다. 요약 상태도, 오, 훌륭하다. 서비스는 다양하다. 전체 스크립트를 볼 수 도 있게 되어있다. 요약본보다 더 자세한 내용을...",3일 전
11,2024 월드IT쇼 LG전자 부스 방문 인공지능 AI 가전 새로운 미래를 만나다,"2024 월드IT쇼 LG전자 부스 방문 인공지능 AI 가전 새로운 미래를 만나다 안녕하세요. 사진&IT 크리에이터 자유분방입니다. 2024년 월드IT쇼 World IT Show 2024가 2024년 4월 17일(수)~19일(금)... LG전자 인공지능, AI가 보여주는 가전의 미래 LG전자부스는 빛의선율, 물의 순환, 바람의 시선, 흙 그리고 삶, 초월적 연결 5가지 테마로 되어 있었어요. 그리고 입구에는 LG 알파블...",2024.04.19.
12,"골프, 야구, 축구 등 스포츠에도 활용되는 인공지능(AI)","인공지능(AI) 기술이 골프, 야구, 축구 등 다양한 스포츠 영역에 활용되고 있습니다. AI가 골프 경기 결과를 예측하고, 야구 경기에선 사람 대신 투구를 심판하고, 심지어 AI가 축구... [축구] 코너킥 전술 짜는 AI 구글 산하 인공지능(AI) 조직인 딥마인드는 지난 3월 영국 프로축구 구단 리버풀FC와 함께 AI 기반 축구 전술 코칭 프로그램을 개발했다고 발표했습니다....",4주 전
13,애플 주가전망 미국주식 인공지능 시총1위 아이폰판매 기대,애플 주가전망 미국주식 인공지능 시총1위 아이폰판매 기대 애플의 시가총액이 마이크로소프트를 다시 제치고 1위가 되었습니다. 생성형인공지능 애플인텔리전스 발표이후 시장의 반응이 상당히 뜨겁습니다. 애플시총1위 애플 주가전망 미국주식 시총 1위 유지 그렇지만 주가에 대한부담감도 상당합니다. 결국 앞으로 좋아질 애플의실적이 선 반영된 것이죠. 이주가를...,2주 전
14,"애플 주가 급등, AI 인공지능 애플 인텔리전스 게임 체인저 될까? 국내 관련주","AI 인공지능 관련주로 부각 애플 인텔리전스(Apple Intelligence)라는 인공지능 전략을 공개되면서 게임 체인저가 될 것으로 기대되고 있습니다. 회사는 WWDC(연례 세계 개발자 회의)에서 아이폰, 아이패드, 맥 컴퓨터에 AI를 적용하는 계획을 자세히 설명했는데요. 이제 각 디바이스에는 OpenAI의 ChatGPT를 시작으로 자체 및 타사 모델이 사용될...",2주 전
15,무료 이미지 생성 AI 사이트 (인공지능이 자동으로 그림 그려주는 사이트),"무료 이미지 생성 AI 사이트 (인공지능이 자동으로 그림 그려주는 사이트) 도비호 | 2024년 05월 28일 | 댓글 없음 카테고리: 인공지능, ChatGPT | 태그: 인공지능 블로그에 쓸 원하는 사진이 유료 밖에 없어 인공지능한테 그림을 그리라고해서 사용했다. 이 그림이나 사진을 그려주는 사이트를 모아 보았다. 목차 1 (AI)이 그림을 그려준다...",4주 전
16,"인공지능 감성 AI로봇 리쿠 리뷰, 가격 미운우리새끼 김승우 로봇","얼리어답터 리뷰/IT정보 인공지능 감성 AI로봇 리쿠 리뷰, 가격 미운우리새끼 김승우 로봇 by 엔돌슨 2024. 5. 22. 인공지능 감성 AI로봇 리쿠 리뷰, 가격 미운우리새끼 김승우 로봇 안녕하세요. 오늘은 국내 최초로 인공지능 감성 로봇으로 인정받은 '리쿠'에 대해 리뷰해보려고 합니다. 최근 방송된 미운우리새끼에서 김승수가 리쿠 로봇을 소개하는...",2024.05.22.
17,"연금저축보험 이전 후 수익 인증, 인공지능 투자 성과 어떨까?","최근엔 인공지능이 운영하는 상품을 추천하고 있습니다. 가입 후 연금을 받기까지 또는 연금을 받으면서도 상품을 운용해야 초장기 상품이기 때문에 상품 하나 가입하면 끝이 아니라 상황에 맞게 운용을 해야 합니다. 가입자가 직접 펀드를 바꾸고, ETF를 매수할 수 있다면 좋겠지만 쉽지 않죠. 적어도 제 주변에는 없었습니다. 은 연금저축계좌에 넣은...",2024.04.08.
18,AI 엑스포 인공지능 트렌드 기술 적용 사례 셀바스AI 기업 탐방기,"GPT 서비스 시작으로 다양한 인공지능 서비스가 빠르게 성장하기 시작하였습니다. 물론, 일부 아쉬운점이 있었는데요. 스타트 기업 및 론칭 예정에 가까운 사업들이 많다는... 4) CO-Assistance 업무 생산성 SELVAS는 자체적 개발 음성 지능, 필기 지능 솔루션을 개발하였는데요. 복잡한 문서 및 이미지 파일을 텍스트로 전환하는 Selvy OCR, 대화 내용을 기록할 수 있는 Selvy...",2024.05.14.
19,"인공지능과 생명공학의 만남, 디지털 육종 기술",따라서 디지털 육종이라는 것은 유전체 분석 및 인공지능 기술을 활용해 더 효율적으로 원하는 기능을 가진 고품질의 종자를 생산할 수 있는 융합 기술로 볼 수 있습니다. 2024년 10대... 빅데이터와 인공지능 기술의 적용이 아예 없는 0단계부터 육종가의 개입 없이 완전 자동화된 5단계까지 총 6단계로 나눌 수 있습니다. 디지털 육종의 단계별 기술을 자세히 살펴보면...,2024.04.27.
20,AI 인공지능 엔비디아 주가 국내 반도체 관련주 - SK하이닉스 KODEX 핵심장비 ETF,"AI 인공지능 엔비디아 주가 국내 반도체 관련주 - SK하이닉스 KODEX 핵심장비 ETF 금리가 떨어지지 않고 있지만, 파월 의장의 비둘기파 발언으로 미국 주식시장은 활기를 되찾았습니다. 지금 주식시장의 가장 큰 화두는 바로 AI 입니다. 엔비디아는 그 중심에 서 있죠. 최근 좀 지지부진하긴 했지만, 2년전과 비교해보면 500% 이상 상승한 것을 볼 수 있습니다....",2024.05.10.
21,소프트웨어 SW 코딩 엔트리 인공지능 with 햄스터로봇,오늘 제가 읽은 책은 영진닷컴의 엔트리 인공지능 with 햄스터로봇 개정판인데요. 엔트리와 햄스터 로봇으로 쉽게 배우는 인공지능 교육 교재입니다. 엔트리는 우리나라에서 만든 소프트웨어 프로그램입니다. 누구나 무료로 사용할 수 있는 SW 교육 프로그램인데요. 대부분의 학교에서 이 SW를 사용해서 소프트웨어 학습을 진행하고 있습니다. 작품을 만드는 과정이...,2주 전
22,"인공지능이 변화시킬 미래, 주거환경엔 어떤 영향을 미칠까? 2024 AI EXPO","작년 초, 거대언어모델(LLM)의 상용화를 현실화시킨 Open AI사의 'Chat GPT'는 인공지능이 상용화되었다는 사실을 전 세계적으로 널리 알린 신호탄이었습니다. 그리고 1년 뒤 국내 최고의... 그리고 올해 5월 Open AI사는 'Chat-GPT-4o'를 통해 거대언어모델을 넘어 이미지와 영상도 AI로 콘텐츠화할 수 있고, 이제는 이 인간의 감정까지 읽을 수 있는 무서운 현실을...",2주 전
23,AI 인공지능 개발자 비전공자 국비지원 취업 내일배움카드 교육 학원,오늘은 AI개발자 취업 과정 그리고 인공지능 개발자 분야 국비지원 교육 과정에 대해서 알려드리려고 합니다~! AI취업 내일배움카드 알아보시는 분들에게 좋은 소식일듯 합니다 AI... 인공지능 개발자 교육 커리큘럼 안내 3. 비전공자 기준 IT진로 고민이라면 ? 4. 내일배움카드 사용할때 주의할점 5. IT현실 조언 / 팩트정리 1. AI 개발자 취업 전망이 좋은이유 학원...,2024.05.25.
24,인공지능 관련주 투자 전망 국내외 6곳,"AI 음성 비서 'NUGU', 지능형 CCTV 등 AI 기술 기반의 제품 및 서비스를 선보이고 있습니다. 최근에는 자회사 SK쉴더스를 통해 AI 기술 기반의 보안 솔루션 사업을 강화하고 있습니다. 전문가들은 SK 텔레콤이 AI 기술을 통신, 보안, 미디어 등 다양한 분야에 적용하며 성장할 것으로 전망하고 있습니다. 이처럼 국내 주요 IT, 통신, 보안 기업들이 ...",4주 전
25,복지 서비스에도 활용되는 인공지능(AI),"다양한 복지 서비스에 인공지능(AI)이 활용되고 있습니다. 인공지능이 안부 전화를 거는 'AI 노인 말벗 서비스'를 비롯해 발달장애인 돌봄에도 인공지능(AI) 기술이 적용되고, AI로 전력·통신사용량 감지해 1인가구의 고독사를 예방하기도 하는데요. 복지 서비스에 활용되는 (AI)의 활용 사례를 윤커뮤니케이션즈와 함께 살펴보세요! 이 안부 전화 거는...",2주 전
26,한미반도체 주가 전망 주식 인공지능AI 테마 관련주,"한미반도체 주가 전망 주식 인공지능AI 테마 관련주 국내주식이 미국 나스닥에 비해서는 재미없고 지루하다는 평이 많습니다. 하지만 일부 몇개 종목은 몇년간 엄청난 상승률을... 인공지능 AI테마의 중심 단순히 실적이 좋아진다는 이유만으로, 이정도로 주가가 오르기는 쉽지 않습니다. 하지만 한미반도체는 (AI)수혜주로 분류되고 있어요. 그 배경에는...",2주 전
27,새로운 AI 시대의 시작 Windows 11 Copilot + PC 인공지능 노트북의 등장!,요즘 인공지능 기반 서비스가 유행입니다. 저 역시도 윈도우 및 엣지 브라우저를 통해 코파일럿을 자주 사용하고 있습니다. 무료로 사용할 수 있으면서 그림 생성은... 여느 인공지능 기반 서비스보다 더 많은 기능과 향상된 성능을 제공하는 Copilot+ PC는 앞으로 우리의 PC 사용 경험을 크게 변화시킬 것입니다. 새로운 기능들과 함께 제공되는 뛰어난...,2주 전
28,인공지능으로 국방규격 품질관리 시작한다! <국방표준종합정보시스템(KDSIS) 고도화 사업 완료>,* PLM : Product Lifecycle Management ** BOM : Bill of Materials 이 밖에 로봇처리자동화(RPA*) 및 인공지능(AI) 기술을 적용하여 단순․반복적인 업무를 자동으로 처리하고 방대한 분량의 기술 자료도 신속하게 검증하여 국방규격의 품질을 크게 높일 수 있게 되었습니다. * RPA : Robotic Process Automation 이러한 기능 개선은 최근 첨단 무기체계의 개발 추세를 반영하는...,1일 전
29,"애플 iOS18 아이폰 기능, 어떤 인공지능 기능들이 추가될까?","Siri는 물론이고, 이메일, 메시지, 사파리, 사진 편집 등에서도 인공지능을 활용한 기능들이 추가될 것으로 예상되고 있습니다. 그리고 그 중심에는 Open AI의 ChatGPT가 있을 것이라는... 그리고 메일과 메시지에서는 인공지능을 활용한 스마트 답장 기능을 사용할 수 있을 것으로 예상되고 있습니다. 대형 언어 모델 기반으로 이메일과 메시지 내용 등을 분석해...",3주 전
30,신일 무소음 선풍기 BLDC 모터에 인공지능 탑재 3D14W,"BLDC 모터를 탑재해 12단계로 세부적인 풍량 조절은 물론 소음이 거의 없고, 인공지능 기능을 탑재해 스스로 풍량을 조절하고 3D 좌우 상하 입체 자동회전이 가능해 필자에게 딱... 게다가 인공지능 탑재로 주변 온도에 맞춰 자동으로 바람세기가 설정되도록 사용할 수 있다. 각도 조절도 가능한데, 30도/60도/120도 좌우 조절은 물론 상하 105도까지 조절이 가능해 상황에...",2024.05.16.
31,AI 상담 서비스 인공지능 챗봇 고객센터 클라우드게이트 프로모션 정보,인공지능 기술이 발전하면서 이는 고객 상담 분야에도 큰 영향력을 가져왔습니다. 사람이 직접 상담을 하던 과거와 달리 학습된 AI 솔루션을 통해 고객 응대를 하는 기업들이 많아지고 있죠. 앞으로도 인공지능 분야로는 지속적인 발전이 예상되기에 솔루션 사용은 꼭 필요해지는 상황인데요. AI 상담 고객센터 대행에 괜찮은 클라우드게이트 AI 서비스 및...,4주 전
32,"인공지능(AI) 시대, 늘어나는 반도체 수요, 이번 기회를 놓치면 끝이다? 26조원 규모 반도체 산업지원 방안","이는 전세계적으로 인공지능(AI) 투자가 확대되면서 반도체 수요가 급증했고, 메모리 반도체 가격이 상승한 덕분인데요. 하지만 그만큼 경쟁이 치열하다는 것을 의미하기도... 06.07~2025.06.06)) #웰컴저축은행 #웰컴디지털뱅크 #저축은행 #반도체 #파운드리 #HBM #미니팹 #팹리스 #반도체클러스터 #삼성전자 #SK하이닉스 #메모리 #메모리반도체 # #AI",2주 전
33,AI 종류 인공지능 직업 개발자 교육 국비지원 취업 내일배움카드 학원,"오늘은 AI종류 어떤것들이 있는지 인공지능 직업 에 대해서 알아보고 AI 교육 국비지원 수업과정 커리큘럼 강의 강좌 수업 내용까지 알아보려고 합니다 요즘에 인공지능개발자 취업, AI개발자 취업 많이 하시려고 하시는데요~ 파이썬 데이터분석, 딥러닝 기술이 필수여서 이런 부분에 맞게 교육과정을 받을 수 있는지 제대로 알아보고 본인 계획 목적에 맞게 기술...",2024.05.25.
34,미국 AI 인공지능 관련주 수혜주 종류,갑자기 AI 인공지능 관련주 수혜주에는 무슨 기업이 있는지 궁금하시데요. 재설씨를 위해 부랴부랴 인공지능 관련주에 대해 공부해서 분야별로 대표 주식들 알려드렸어요~ 오늘 포스팅은 6월 23일 기준으로 상담 내용이니 참고해주세요! 목차 1. 미국 증시 분위기 2. 미국 AI 관련주 수혜주 전망 3. 관련주 종류 4. ARM 주가 추세 5. AI 인에이블링 관련주...,6시간 전
35,AI프로필 제작 캐럿으로 나만의 인공지능 사진 및 그림 만들기,"요즘은 인공지능을 기반으로 앵커를 대체하기도 하고 CF 영상에 AI 캐릭터가 등장하기도 합니다. 정말 신기한 세상에 살고 있으나, 종종 어떻게 만드는지 궁금하기도 했는데요. 예전에는 뭔가 이질적이고 어색하다는 느낌이 들었다면, 요즘은 무엇이 진짜인지 헷갈릴 정도로 사진이나 캐릭터의 퀄리티가 높더라고요. 이번 글에서는 매일 1장 누구나 무료로...",2024.03.25.
36,인공지능 딥러닝 용산 조립컴퓨터 견적 출고,24코어 32스레드를 지원하고 있는 고사양 프로세서로 인공지능 개발용 컴퓨터를 제작할때 많이 선택받고 있는 고사양 프로세서 입니다. 기본클럭 3.2GHz 이며 최대클럭 6.0GHz를... 깔끔하게 선 정리를 완료합니다. 테스트를 완료하고 작동이 잘 되는 상태로 출고 합니다. 이렇게 딥러닝 용산 조립컴퓨터 포스팅을 마칩니다. 감사합니다.,2024.05.21.
37,인공지능 ai 음악 만들기 저작권 정보 및 만드는 방법,"다만, 저작권을 가지려면 창작자가 있어야 하는데 ai 음악은 장작 주체가 인공지능이기 때문에 저작권 귀속 주체를 정하기 어렵습니다. 즉, 현재까지는 ai 음악에 대한 저작권이 없는 상태이며 법적 기준이 모호한 상황입니다. 때문에 ai 음악을 생성하면 저작권 없이 사용이 가능합니다. 본 포스팅에서는 필모라 AI 음악 생성기를 통해 음악 만드는 방법...",2시간 전
38,"사회적 고립가구 위한 인공지능(AI) 스피커 돌봄 서비스 시범 시행, 5월 24일까지 신청 접수","사회적 고립가구를 위한 안전망✋ 서울주택도시공사 등 4개 기관이 사회적 고립가구를 위한 인공지능(AI) 스피커 돌봄 서비스를 시범 시행하고, SH공사 강동구 소재 다가구 매입임대주택 사회적 고립가구 100세대를 대상으로 5월 13~24일 신청 접수받습니다! 서울주택도시공사, 스피커로 사회적 고립가구 24시간 돌본다 서울주택도시공사와 서울시복지재단...",2024.05.13.
39,인공지능의 시대: 2016년의 붐과 그 이후 #AI강의,"영화 속 인공지능 '사만다'의 목소리는 스칼렛 요한슨이 맡았죠. 영화의 결말은 주인공이 '사만다'에게 깊은 애정을 품게 되지만, 결국 사만다가 업그레이드되어 그를 떠나버리는 이야기로 마무리됩니다. 이 결말은 인공지능이 인간과의 관계에서 어떻게 행동할지를 생각하게 만듭니다. 이 영화는 과 인간의 관계에 대한 많은 시사점을 던집니다....",2주 전
40,구글 홈미니 네스트 미니 2세대 인공지능 AI 스피커 4년 사용후기,현재 인공지능 ai 스피커가 많이 보편화되면서 많은 ai 기술력을 가진 스피커가 많이 나오고 있습니다! 하지만 구글에서 나온 네이스트 미니 2세대를 사용해보면서 솔직한 후기를... 좋은 인공지능 스피커라는 점입니다. 처음에 연동만 잘 해놓으면 음성을 통해 음악도 들을 수 있고 날씨도 물어볼 수 있 검색도 할 수 있고 다양하게 활용할 수 있는 게 바로 구글 홈미니...,2024.05.11.
41,마사(MASA) AI 대장 코인 탈중앙화 인공지능 데이터 프로젝트 소개 및 전망,"어떤 기업이 시총 1위를 하느냐는 사실 우리에게 의미는 없고, 두 회사 모두 인공지능에 엄청나게 앞서가고 있다는 것에 집중할 필요가 있습니다. 반도체 시장은 최근 다소 부침을 겪었지만 현재 엄청난 호황이죠. 국내 기업인 하이닉스만 봐도 알 수 있는데요. 하이닉스의 경우 ATH를 지속적으로 기록하고 있습니다. 그만큼 에 대한 기대감이 얼마나...",14시간 전
42,무선이어폰 갤럭시버즈3 프로 스템 생기는 이유!! 실시간 번역 방법과 탑재 그런데 배터리 용량은?,실시간 번역 기능과 인공지능 탑재 삼성전자가 무선이어폰 최신 모델 출시를 앞두고 있는 갤럭시버즈3 프로에 갤럭시S24 울트라에 탑재된 인공지능 기능과실시간 번역 기능을 탑재할 것으로 보입니다. 외국인과 통화를 하면서 실시간으로 어떤 내용을 말하는지 번역을 해 준다는 실시간 번역 기능이 무선이어폰에도 적용된다는 것입니다. 세상이 참 빠르게 변하고...,4주 전
43,인공지능(AI)과 구글의 위기??,"인공지능(AI)과 구글의 위기? 구글(Google, 알파벳A)은 이세돌과 바둑 대결로 유명한 알파고를 시작하며 인공지능 시대를 열었습니다. 또한 세계적으로 수많은 인공지능 전문가를 배출해 내면서 인공지능의 선두 주자 중에 하나로 알려져 있습니다. 그런 구글이 최근 AI를 장착한 검색엔진을 유료화를 검토하고 있다고 합니다. 구글(Google)은 그동안 검색은 무료이고...",2024.04.15.
44,한글과컴퓨터가 론칭한 인공지능 AI 뉴스레터 구독해 보니,OpenAI가 세상에 선보인 ChatGPT를 신호탄으로 인공지능을 활용한 다양한 서비스가 빠른 속도로 등장하고 있다. 전 세계가 미래 먹거리로 부상한 AI에 모든 역량을 투자하고 있기에... 최신 인공지능 트렌드와 국내에는 잘 알려지지 않은 일상 속 도움이 되는 AI 소식을 깔끔하게 정리해서 격주에 한 번씩 발행한다. 이는 국내 오피스 프로그램 기업인 '한글과컴퓨터(한컴)...,2024.04.17.
45,AI활용능력 시험 AICE/한국인공지능자격 시험개요 종류 방식 일정,① 초등학생들 대상으로 하는 Future ② 중고등학생 대상으로 하는 Junior ③ 비전공자에게 권장되는 Basic ④ 코딩이 필요한 Associate ⑤ 최고급 Professional 자격증기본정보 AICE 홈페이지 링크 ↓↓↓↓↓↓↓↓ 한국인공지능자격 한국협회에서 시행중인 자격시험임. 이미 수년전 부터 시행해오고 있음. 자격증취득 절차 시험일정 한국자격센터...,4주 전
46,AI 인공지능 관련주 산업 이제는 클라우드에서 온디바이스 AI로 전환,안녕하세요 오쿤입니다 :) 글로벌 증시를 좌우하고 있는 산업 중 하나를 말해보라 하면 역시 인공지능 관련주 산업을 빼놓을 수 없는 것 같습니다. 작년부터 벌써 2년 가까이 시장을 이끌어가고 있다 해도 과언이 아닌 것 같습니다. 이러한 AI 관련주 산업에서도 새로운 변화가 생겨나고 있습니다. 기존 클라우드 서비스 중심으로 전개되던 산업 흐름이...,3주 전
47,[포토샵]최신인공지능 기능 사용하기,"포토샵의 인공지능 기능이 점점 좋아지는 것 같습니다. 이것을 사용해보려고 하면, 알아야 할 것이 있어서 포스팅 합니다. 먼저 포토샵을 띄워봅니다. 새로 시작해봅니다. 흠.. 인공지능 이미지생성 기능이 보이지 않습니다...왜 일까요? 최신 기능은 베타버전에서 사용해볼 수 있습니다. 베타버전을 사용하기 위해서 creative cloud 앱을 열어보겠습니다. 포토샵...",4일 전
48,지포스 RTX 4090 AI 인공지능 개발용 최고사양 조립PC,오늘은 인텔 14세대 I9-14900K 모델과 지포스 RTX 4090 그래픽카드로 AI 인공지능 개발용 최고사양 조립PC를 제작 하였습니다. 충분한 사양과 성능으로 AI 개발용으로 사용하기... AI 인공지능 개발용 조립PC를 제작할때 많이 선택받고 있는 최고사양 그래픽카드 지포스 RTX 4090 입니다. 이번에 사용된 제조사는 기가바이트 회사 모델로 화이트 색상에 AERO 모델을 넣어...,2주 전
49,감성 인공지능 AI 로봇 리쿠,"▸ 재미톡톡 동화구연 ▸ 율동, 동요 ▸ 안전 교육 7대 영역 ▸ 한글 사전으로 하는 단어 알기 ▸ 로봇 코딩 수업 활용 ▸ 영어 학습 ▸ 달콤 감성 ART ▸한국사 ▸기후와 환경 ▸AI 로봇 리쿠는 단순한 로봇이 아니라 인공지능 기능을 갖추고 있습니다. ▸감성 대화 ▸얼굴 인식 ▸원 운영 관리 프로그램 ▸ 수업 AI로봇 리쿠의 활용 지원 프로그램으로는...",2주 전
50,"인공지능 때문에 사라질 직업들, 현실은?","흥미로운 것은 '인공지능 때문에'라는 단서가 붙어 있다는 점입니다. 02 약 8년 전, 인공지능이 아직은 머나먼 미래로만 여겨지던 시점에 우리는 예술, 창작, 심리와 같은 '고차원적'인 정신 활동이 인간의 전유물이자 최후의 보루라 생각했네요. 실제 현실은 어떻게 됐을까요? AI 시대의 초입을 사는 우리는 이제야 봅니다. 재미(?)있게도 2016년 당시 '이 대체...",2024.05.04.
51,"강원특별자치도, 2024년 인공지능(AI) 바우처 지원사업 역대 최대 성과 달성",안녕하세요~ 강원특별자치도입니다~ 인공지능(AI)!!! 여러분은 AI 잘 활용하고 계시나요? 강원에서는 여러 산업 분야에서 인공지능의 도입과 확산을 위한 노력을 기울이고 있는데요. 강원의 산업 인공지능 역량이 빛을 발해 역대급 국비를 확보하는 성과를 거두었어요. 과학기술정보통신부 주관 2024년 (AI) 바우처 지원사업에서 국비 13억 원을 확보하며 총...,5일 전
52,인공지능 로봇과 그림그리기 대회를 할 수 있는 어린이과학관,"로봇이 우리 생활에 일상적으로 자리 잡는다는 게 아직 상상이 가지 않지만, 불이 난 건물에서 로봇으로 사람을 구하는 시뮬레이션 게임 등을 통해 앞으로 인공지능 기계와 함께하는 우리 삶이 어떻게 변화할지 간접적으로나마 느낄 수 있습니다. 이곳에서 가장 인기 있었던 전시는 로봇과 낱말맞추기 대결하거나 그림 그리기 대결을 하는 것이었습니다. 사람과...",2024.05.22.
53,페르소나 AI 부스 AICC 인공지능 체험 후기.,인공지능 기술이 하루가 멀다 하고 빠르게 발전하고 있어서 속도를 제대로 따라가지 못하면 소외를 받고 있는듯한 기분을 느끼고 있는데요. 그래서 오늘 미래를 선도할 기술을 한자리에서 만나볼 수 있는 IT 전시회 '스마트테크 코리아'를 다녀왔습니다. 그중에서 챗봇과 콜봇으로 각광을 받고 있는 페르소나AI 부스를 방문해서 직접 AICC 을 체험해 봤는데요....,5일 전
54,"인공지능과 함께 디지털 인재로! AI, 학교 수업에 들어오다!?","2022년 초·중등학교 교육과정 총론에서는 인공지능 기술 발전, 사회적 문제 해결을 위한 협력, 학생의 특성과 진로를 고려한 맞춤형 교육 수요 상승 등을 변화된 모습으로 보고... _AI와 인공지능 리터러시 인공지능 리터러시는 기술을 이해하고 적절하게 활용하는 능력을 의미합니다. 디지털 대전환 시대에 살고 있는 우리는 산업 전 분야를 넘어...",2024.03.26.
